88	48	21	60	07	30
77	25	14	17	16	83
35	89	24	09	02	98
19	08	77	63	80	14
**	72	48	37	92	95
33	89	81	40	64	01
95	93	33	70	19	15
32	27	06	91	88	98
09	76	19	18	41	92
77	27	48	79	86	71
50	97	98	15	05	87
52	13	29	96	17	55
92	61	40	40	58	69
65	49	11	51	50	57
82	98	77	45	67	19
80	46	59	07	07	58
00	09	16	48	55	94
50	11	42	92	65	03
49	18	20	89	40	51
94	50	38	45	29	80
24	21	85	33	01	50
10	98	91	92	67	08
49	26	17	37	16	64
23	45	23	96	11	86
67	18	21	**	37	82
83	60	09	00	08	15
41	09	39	99	30	57
66	07	44	27	21	38
42	65	08	81	02	35
45	76	20	50	46	68
56	51	82	72	33	84
23	07	81	41	53	50
88	50	40	03	89	27
61	59	52	59	12	61
31	88	43	00	44	08	**
78	17	27	62	35	81	**
02	60	63	38	45	24	**
99	88	12	76	**	94	**
57	46	56	17	99	30	**
03	64	39	24	94	52	**
82	73	75	18	38	31	**
77	40	49	58	62	19	**
65	22	26	10	58	92	**
13	53	14	66	92	31	**
82	09	06	94	81	56	**
50	70	57	08	44	68	**
44	30	11	72	68	75	**
-1	-1	-1	-1	-1	-1	-1
90	33	54	12	55	59	**
73	35	87	41	19	93	**
60	94	54	01	30	23	**
00	27	00	39	32	60	**
41	01	43	66	99	69	**
27	88	74	47	88	40	**
16	90	20	49	76	42	**
06	08	63	05	89	31	**
73	30	16	61	52	80	**
77	49	03	38	96	57	**
83	04	79	07	41	21	**
68	53	17	40	48	62	**
71	75	39	01	87	29	**
**	36	22	97	05	40	**
80	25	15	80	73	74	**
62	34	56	95	44	98	**
04	28	11	25	42	98	**
30	78	67	05	01	61	**
99	59	**	38	88	20	**
85	46	54	76	26	41	**
62	63	19	70	58	47	**
32	94	83	81	51	08	**
61	22	66	90	87	87	**
11	81	43	69	25	98	**
12	77	39	71	75	30	**
54	97	02	04	85	36	**
06	41	80	94	81	69	**
49	20	56	74	28	67	**
85	04	09	39	99	84	**
14	10	21	37	23	92	**
86	71	53	78	46	36	**
95	49	09	30	84	24	**
38	82	15	26	69	61	**
51	99	16	53	32	82	**
67	02	08	34	86	07	**
66	47	96	66	27	54	**
25	56	71	65	23	89	**
94	88	62	59	98	02	**
19	10	82	95	74	18	**
52	76	72	88	13	40
49
